time,open,high,low,close,avgPrice,Long Take Profit,Short Take Profit,long safety line,short safety line,Long Stop Loss,Short Stop Loss,Long ASLE Profit,Short ASLE Profit,Trailing Callback Line,Trailing Callback Line,Resistance Line,Support Line,mid Line,StopPassZone,StopPassZone,BoxUp,BoxDown
1760722920,106300,106343.5,106164.6,106292.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104792.7,NaN,NaN,NaN,NaN,NaN
1760723100,106292.1,106305,106010,106049.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105024.7,NaN,NaN,NaN,NaN,NaN
1760723280,106049.7,106441,106033.2,106427.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105024.7,NaN,NaN,NaN,NaN,NaN
1760723460,106427.1,106438.7,106243.2,106378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105024.7,NaN,NaN,NaN,NaN,NaN
1760723640,106378,106508.6,106312.8,106376.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105024.7,NaN,NaN,NaN,NaN,NaN
1760723820,106376.4,106414,106279.7,106381.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105024.7,NaN,NaN,NaN,NaN,NaN
1760724000,106381.8,106626.7,106381.8,106508.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105034.6,NaN,NaN,NaN,NaN,NaN
1760724180,106508.7,106619.8,106492.1,106619.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105248.6,NaN,NaN,NaN,NaN,NaN
1760724360,106619.8,106728.3,106585.9,106666.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105390,NaN,NaN,NaN,NaN,NaN
1760724540,106666.6,106847.2,106591.1,106809.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105390,NaN,NaN,NaN,NaN,NaN
1760724720,106809.3,106838,106484.8,106524.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105391,NaN,NaN,NaN,NaN,NaN
1760724900,106524.9,106598.7,106473.3,106496.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105391,NaN,NaN,NaN,NaN,NaN
1760725080,106496.6,106737.6,106449.9,106737.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105582.4,NaN,NaN,NaN,NaN,NaN
1760725260,106737.6,106899,106668.9,106855.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105582.4,NaN,NaN,NaN,NaN,NaN
1760725440,106855.6,106907.1,106765,106894.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105582.4,NaN,NaN,NaN,NaN,NaN
1760725620,106894.4,106910,106821.5,106822.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105582.4,NaN,NaN,NaN,NaN,NaN
1760725800,106822.3,106923.4,106811.1,106877.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105582.4,NaN,NaN,NaN,NaN,NaN
1760725980,106877.3,106910,106673.6,106903.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105582.4,NaN,NaN,NaN,NaN,NaN
1760726160,106903.9,107042.3,106860.2,106928.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105582.4,NaN,NaN,NaN,NaN,NaN
1760726340,106928.1,106928.1,106685.8,106685.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,105726.1,NaN,NaN,NaN,NaN,NaN
1760726520,106685.8,106774.4,106666,106666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,106000.1,NaN,NaN,NaN,NaN,NaN
1760726700,106666,106763.7,106513.6,106562.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,106010,NaN,NaN,NaN,NaN,NaN
1760726880,106562.2,106612.1,106477,106573.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,106010,NaN,NaN,NaN,NaN,NaN
1760727060,106573.7,106580.5,106435.4,106550.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,106010,NaN,NaN,NaN,NaN,NaN
1760727240,106550.1,106637.5,106521.5,106564.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,106010,NaN,NaN,NaN,NaN,NaN
1760727420,106564.1,106596.4,106479.7,106586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,106010,NaN,NaN,NaN,NaN,NaN
1760727600,106586,106750,106586,106723.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,106010,NaN,NaN,NaN,NaN,NaN
1760727780,106723.5,106787.2,106588.4,106764.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,106010,NaN,NaN,NaN,NaN,NaN
1760727960,106764.5,106775.9,106600.1,106638.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107350,106010,NaN,NaN,NaN,NaN,NaN
1760728140,106638.7,106848.3,106608.6,106806.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107269.1,106010,NaN,NaN,NaN,NaN,NaN
1760728320,106806.7,106828,106677.9,106718.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107216.9,106010,NaN,NaN,NaN,NaN,NaN
1760728500,106718.9,106769.3,106620.1,106672.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107216.9,106010,NaN,NaN,NaN,NaN,NaN
1760728680,106672.1,106756.3,106617.9,106743.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107216.9,106010,NaN,NaN,NaN,NaN,NaN
1760728860,106743.2,106743.3,106584,106610,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107216.9,106010,NaN,NaN,NaN,NaN,NaN
1760729040,106610,106674.2,106444.5,106515.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107216.9,106010,NaN,NaN,NaN,NaN,NaN
1760729220,106515.8,106559.4,106445.6,106547.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760729400,106547.1,106547.1,106375.9,106399.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760729580,106399.3,106399.3,106173.7,106339.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760729760,106339.3,106339.3,106175.3,106304.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760729940,106304.8,106420,106254,106390.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760730120,106390.1,106480,106372.7,106403.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760730300,106403.5,106453.3,106324.6,106396.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760730480,106396.1,106498.2,106396.1,106435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760730660,106435,106541.9,106387.5,106460.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760730840,106460.1,106589.1,106410.8,106417.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760731020,106417.4,106457.3,106356.2,106403.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760731200,106403.5,106441.6,106294.8,106308.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760731380,106308.8,106423.3,106294.6,106397.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760731560,106397.7,106425.4,106304,106304.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760731740,106304.1,106497.2,106304,106469.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
1760731920,106469.9,106560,106459.3,106558.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107042.3,106010,NaN,NaN,NaN,NaN,NaN
